RMSE ACC
0.0736894 0.920833
0.0779985 0.914167
0.0710672 0.93
0.0704449 0.929167
0.068053 0.9375
0.0704627 0.928333
0.069401 0.93
0.0736533 0.92
0.0624629 0.955
0.0732102 0.928333
0.0760005 0.925833
0.0687936 0.935
0.0683231 0.940833
0.0697161 0.9425
0.06724 0.945833
0.071522 0.935833
0.0718798 0.929167
0.0637679 0.949167
0.0689555 0.943333
0.0678799 0.939167
0.0733356 0.934167
0.0723702 0.925
0.0680563 0.935833
0.0663799 0.935833
0.0683184 0.943333
0.0669713 0.934167
0.0718793 0.920833
0.0667152 0.9425
0.0718629 0.928333
0.0684122 0.934167
0.0641274 0.954167
0.0702818 0.929167
0.0671852 0.935
0.0678434 0.936667
0.0664811 0.9375
0.0696678 0.930833
0.0689658 0.941667
0.0671392 0.940833
0.0688043 0.940833
0.072017 0.928333
0.066121 0.9375
0.0651083 0.943333
0.0659135 0.948333
0.0677117 0.935833
0.0730428 0.920833
0.0628178 0.938333
0.0629498 0.945833
0.0642805 0.945833
0.068285 0.935833
0.0663901 0.945833
0.0728562 0.926667
0.0692883 0.938333
0.0649724 0.946667
0.0726652 0.92
0.0687423 0.93
0.0729782 0.92
0.0705198 0.9275
0.0730093 0.929167
0.0688553 0.935
0.0675489 0.93
0.0700062 0.933333
0.0675073 0.926667
0.063284 0.954167
0.0719785 0.923333
0.0654563 0.945833
0.0697762 0.928333
0.0707829 0.934167
0.0620679 0.938333
0.0607115 0.965833
0.0677381 0.935
0.0653016 0.944167
0.0675692 0.9425
0.0689164 0.935833
0.0678262 0.928333
0.0640713 0.951667
0.0664648 0.944167
0.0671321 0.94
0.0701136 0.928333
0.0693008 0.931667
0.0678132 0.936667
0.065625 0.938333
0.0660206 0.9425
0.0633933 0.951667
0.0627377 0.95
0.0706658 0.930833
0.0698428 0.926667
0.0705353 0.93
0.0645499 0.944167
0.0726484 0.9175
0.0657779 0.941667
0.0721367 0.9175
0.0680086 0.930833
0.0673713 0.938333
0.06089 0.9475
0.0637918 0.950833
0.0722999 0.920833
0.0621086 0.9475
0.0654965 0.941667
0.064071 0.948333
0.0711254 0.92
0.0691313 0.9325
0.0623305 0.9525
0.0643686 0.948333
0.0697252 0.930833
0.0712088 0.930833
0.0709978 0.9175
0.069695 0.93
0.0714433 0.929167
0.067063 0.929167
0.0691527 0.9275
0.067004 0.941667
0.0660958 0.94
0.0682065 0.931667
0.0697381 0.9275
0.0674628 0.9275
0.0752924 0.915833
0.0680301 0.939167
0.0634921 0.945
0.0636282 0.94
0.0738209 0.9125
0.0631345 0.950833
0.0666562 0.934167
0.0666116 0.9325
0.0708598 0.925833
0.0686135 0.933333
0.0660104 0.933333
0.0651759 0.935833
0.0650115 0.936667
0.0681246 0.936667
0.0653614 0.94
0.0741604 0.921667
0.0653659 0.938333
0.0652291 0.941667
0.0712961 0.930833
0.0649932 0.941667
0.0628675 0.945833
0.0658038 0.934167
0.0640048 0.94
0.0628139 0.9375
0.0634894 0.939167
0.0668387 0.939167
0.0704656 0.9225
0.0637124 0.939167
0.0696904 0.919167
0.0653621 0.939167
0.0666095 0.936667
0.0685567 0.925
0.060749 0.949167
0.0660385 0.940833
0.0595874 0.956667
0.0579659 0.9525
0.0652758 0.933333
0.0729083 0.91
0.0636864 0.945
0.0694223 0.9275
0.0655035 0.935833
0.0648183 0.939167
0.0640862 0.9425
0.0717878 0.921667
0.066456 0.933333
0.0596925 0.955833
0.0675049 0.92
0.0673478 0.9275
0.0659935 0.9425
0.0648941 0.94
0.0658853 0.943333
0.0645645 0.943333
0.0599377 0.958333
0.0661041 0.935833
0.0637915 0.949167
0.0660376 0.94
0.0675894 0.9375
